Anneal Value,id:8 n:[45:I] -> id:7 n:[48:Abstract (S) Pos:0]-x,id:8 n:[45:I] -> id:7 n:[48:Abstract (S) Pos:0]-w,id:8 n:[45:I] -> id:7 n:[48:Abstract (S) Pos:0]-net,id:10 n:[45:I] -> id:13 n:[50:Abstract (S) Pos:1]-x,id:10 n:[45:I] -> id:13 n:[50:Abstract (S) Pos:1]-w,id:10 n:[45:I] -> id:13 n:[50:Abstract (S) Pos:1]-net,id:12 n:[45:I] -> id:16 n:[52:Abstract (W) Pos:2]-x,id:12 n:[45:I] -> id:16 n:[52:Abstract (W) Pos:2]-w,id:12 n:[45:I] -> id:16 n:[52:Abstract (W) Pos:2]-net
0.0,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.05,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.1001,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.1506,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.2018,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.2538,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.3071,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.362,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.4188,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.4781,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.5405,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.6065,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.6773,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.754,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.8382,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
0.9324,0.0,-20.0,-0.0067,0.0,-20.0,-9.8729,0.0,-20.0,-4.8089
